centre_lat,centre_lon,impervious_fraction,impervious_coverage
29.825,116.925,0.005661,1.0007
29.825,117.175,0.00334,0.9996
29.825,117.425,0.003565,1.0007
29.825,117.675,0.011133,1.0007
29.825,117.925,0.012597,0.9996
29.825,118.175,0.050994,1.0007
29.825,118.425,0.074578,1.0007
29.825,118.675,0.009407,0.9996
29.825,119.175,0.007653,1.0007
29.825,119.675,0.090031,1.0007
29.825,120.175,0.161025,1.0007
29.825,120.425,0.100244,1.0007
29.825,120.675,0.032916,0.9996
29.825,120.925,0.037126,1.0007
29.825,121.175,0.010707,1.0007
29.825,121.425,0.306428,0.9996
29.825,121.675,0.34117,1.0007
29.825,122.425,0.023993,1.0007
29.575,114.925,0.015929,0.9986
29.575,115.175,0.009306,0.9996
29.575,115.425,0.006124,0.9996
29.575,115.675,0.043531,0.9986
29.575,115.925,0.109637,0.9996
29.575,116.175,0.037723,0.9996
29.575,116.425,0.025634,0.9986
29.575,116.675,0.018303,0.9996
29.575,116.925,0.006349,0.9996
29.575,117.175,0.004289,0.9986
29.575,117.425,0.005695,0.9996
29.575,118.175,0.010723,0.9996
29.575,118.425,0.008921,0.9996
29.575,118.675,0.011003,0.9986
29.575,119.425,0.042117,0.9986
29.575,119.675,0.007204,0.9996
29.575,119.925,0.055787,0.9986
29.575,120.175,0.091677,0.9996
29.575,120.425,0.013316,0.9996
29.575,120.675,0.054138,0.9986
29.575,120.925,0.122848,0.9996
29.575,121.425,0.111563,0.9986
29.575,121.675,0.058772,0.9996
29.575,122.175,0.005891,0.9986
29.575,122.425,0.0,0.9996
29.325,114.925,0.003265,0.9996
29.325,115.175,0.039983,1.0007
29.325,115.425,0.008148,1.0007
29.325,115.675,0.059839,0.9996
29.325,115.925,0.057235,1.0007
29.325,116.175,0.051124,1.0007
29.325,116.425,0.040947,0.9996
29.325,116.675,0.03739,1.0007
29.325,116.925,0.020364,1.0007
29.325,117.175,0.140076,0.9996
29.325,117.425,0.014663,1.0007
29.325,117.675,0.008664,1.0007
29.325,117.925,0.02605,0.9996
29.325,118.425,0.02091,1.0007
29.325,118.675,0.007006,0.9996
29.325,119.175,0.038034,1.0007
29.325,119.425,0.083902,0.9996
29.325,119.675,0.023626,1.0007
29.325,119.925,0.177875,0.9996
29.325,120.175,0.233202,1.0007
29.325,120.425,0.060819,1.0007
29.325,120.675,0.010362,0.9996
29.325,120.925,0.009057,1.0007
29.325,121.425,0.102365,0.9996
29.325,121.675,0.045472,1.0007
29.325,122.175,0.000663,0.9996
29.325,122.425,0.0,1.0007
29.075,114.925,0.001714,0.9996
29.075,115.425,0.003172,1.0007
29.075,115.675,0.031771,0.9996
29.075,115.925,0.038127,1.0007
29.075,116.175,0.003813,1.0007
29.075,116.675,0.065813,1.0007
29.075,116.925,0.048944,1.0007
29.075,117.175,0.068283,0.9996
29.075,117.425,0.024446,1.0007
29.075,117.675,0.039276,1.0007
29.075,117.925,0.011255,0.9996
29.075,118.175,0.008745,1.0007
29.075,118.425,0.042294,1.0007
29.075,118.675,0.020754,0.9996
29.075,118.925,0.123594,1.0007
29.075,119.175,0.128937,1.0007
29.075,119.425,0.110902,0.9996
29.075,119.675,0.200948,1.0007
29.075,119.925,0.072864,0.9996
29.075,120.175,0.129676,1.0007
29.075,120.425,0.047592,1.0007
29.075,120.675,0.006721,0.9996
29.075,120.925,0.054739,1.0007
29.075,121.425,0.060165,0.9996
29.075,121.675,0.045872,1.0007
29.075,122.175,0.00046,0.9996
29.075,122.425,0.0,1.0007
28.825,115.175,0.002816,0.9996
28.825,115.425,0.042692,0.9996
28.825,115.675,0.052488,0.9986
28.825,115.925,0.174131,0.9996
28.825,116.175,0.02183,0.9996
28.825,116.425,0.018259,0.9986
28.825,116.675,0.048372,0.9996
28.825,116.925,0.052318,0.9996
28.825,117.175,0.051657,0.9986
28.825,117.425,0.026539,0.9996
28.825,117.675,0.019599,0.9996
28.825,118.175,0.012489,0.9996
28.825,118.425,0.060727,0.9996
28.825,118.675,0.090917,0.9986
28.825,118.925,0.122465,0.9996
28.825,119.175,0.012199,0.9996
28.825,119.675,0.023633,0.9996
28.825,119.925,0.12759,0.9986
28.825,120.175,0.093485,0.9996
28.825,120.425,0.016628,0.9996
28.825,120.675,0.049826,0.9986
28.825,120.925,0.034943,0.9996
28.825,121.175,0.099452,0.9996
28.825,121.425,0.077937,0.9986
28.825,121.675,0.093618,0.9996
28.825,121.925,0.00119,0.9996
28.825,122.175,0.000769,0.9986
28.825,122.425,0.0,0.9996
28.575,114.925,0.004961,0.9996
28.575,115.175,0.008668,1.0007
28.575,115.425,0.050281,1.0007
28.575,115.675,0.095347,0.9996
28.575,115.925,0.384467,1.0007
28.575,116.175,0.040496,1.0007
28.575,116.425,0.016329,0.9996
28.575,116.675,0.044848,1.0007
28.575,116.925,0.028379,1.0007
28.575,117.175,0.022891,0.9996
28.575,117.425,0.02007,1.0007
28.575,117.675,0.012031,1.0007
