variant,model,scheme,weighting,n,held_out_r2,delta_vs_committed,delta_vs_matched,comparison,soundings,basis
representativeness weighting,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,515,-0.1899,-0.0609,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,515,-0.2010,+0.6444,+0.6509,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,515,-0.0150,-0.0319,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,515,0.0061,+0.0836,+0.0654,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,905,-0.3739,-0.0876,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,905,-0.4230,-0.3455,-0.3446,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,"OLS trend surface (lat, lon)",spatial blocks,unweighted,905,0.2468,+0.0067,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,"OLS trend surface (lat, lon)",spatial blocks,by sounding count,905,0.4290,+0.1711,+0.1708,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,"OLS wind (u, v, speed)",leave-one-province-out,unweighted,905,0.6437,+0.0105,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,905,0.7435,+0.4325,+0.4421,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,"OLS wind (u, v, speed)",spatial blocks,unweighted,905,0.6762,+0.0235,+0.0000,matched reference on the 905 weighted cells,110920,weighting
representativeness weighting,"OLS wind (u, v, speed)",spatial blocks,by sounding count,905,0.7954,+0.2327,+0.2322,matched reference on the 905 weighted cells,110920,weighting
