centre_lat,centre_lon,sounding_count,ch4_blended_ppb
30.3250,116.6750,65,1885.84
30.3250,116.9250,42,1891.41
30.3250,117.1750,78,1889.36
30.3250,117.4250,14,1887.07
30.3250,117.6750,5,1887.02
30.3250,117.9250,2,1854.20
30.3250,118.1750,12,1875.04
30.3250,118.4250,9,1876.77
30.3250,118.6750,9,1870.11
30.3250,118.9250,7,1869.83
30.3250,119.1750,9,1867.56
30.3250,119.4250,33,1877.41
30.3250,119.6750,48,1882.80
30.3250,119.9250,108,1882.89
30.3250,120.1750,60,1897.67
30.3250,120.4250,17,1892.64
30.3250,120.6750,2,1897.41
30.3250,120.9250,2,1869.93
30.3250,121.1750,15,1879.37
30.3250,121.4250,6,1885.26
30.3250,121.6750,4,1869.45
30.3250,121.9250,3,1856.54
30.3250,122.1750,3,1882.95
30.3250,122.4250,0,
30.0750,114.9250,74,1883.65
30.0750,115.1750,3,1894.48
30.0750,115.4250,77,1884.62
30.0750,115.6750,67,1881.47
30.0750,115.9250,80,1884.85
30.0750,116.1750,63,1881.89
30.0750,116.4250,5,1908.22
30.0750,116.6750,29,1889.13
30.0750,116.9250,40,1882.74
30.0750,117.1750,16,1877.23
30.0750,117.4250,1,1873.48
30.0750,117.6750,3,1873.26
30.0750,117.9250,11,1880.95
30.0750,118.1750,0,
30.0750,118.4250,24,1878.28
30.0750,118.6750,9,1876.14
30.0750,118.9250,0,
30.0750,119.1750,18,1878.14
30.0750,119.4250,17,1884.36
30.0750,119.6750,34,1880.77
30.0750,119.9250,26,1891.12
30.0750,120.1750,34,1886.69
30.0750,120.4250,80,1887.96
30.0750,120.6750,76,1892.34
30.0750,120.9250,66,1887.98
30.0750,121.1750,67,1883.32
30.0750,121.4250,49,1883.35
30.0750,121.6750,3,1906.52
30.0750,121.9250,0,
30.0750,122.1750,0,
30.0750,122.4250,1,1844.77
29.8250,114.9250,20,1876.63
29.8250,115.1750,60,1881.58
29.8250,115.4250,10,1879.47
29.8250,115.6750,7,1878.70
29.8250,115.9250,37,1887.50
29.8250,116.1750,0,
29.8250,116.4250,51,1884.29
29.8250,116.6750,95,1884.79
29.8250,116.9250,70,1879.33
29.8250,117.1750,94,1882.90
29.8250,117.4250,118,1884.30
29.8250,117.6750,79,1886.33
29.8250,117.9250,106,1880.86
29.8250,118.1750,97,1882.88
29.8250,118.4250,121,1881.16
29.8250,118.6750,12,1875.43
29.8250,118.9250,0,
29.8250,119.1750,2,1884.86
29.8250,119.4250,0,
29.8250,119.6750,11,1877.74
29.8250,119.9250,0,
